,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
111,1282,NA,-0.5,0.5,0,0,1,-0.25,0.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.4,0.5,NA,1,1,NA,-1,0
112,1285,1,-0.5,-1,-0.5,0.75,0,0,0,0,1,0.6,0,1,0,NA,NA,-1,-0.75,-0.2,0,0,NA,NA,NA,NA,NA
113,1286,0,0.5,0,-0.5,0,0,-0.25,NA,0,0,-1,-0.4,0,0.4,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA
114,1287,1,NA,NA,NA,NA,0,0,NA,-0.4,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA
115,1289,0,-0.5,0,-0.5,0,0,-0.5,1,NA,0,-1,0,0.4,0,NA,NA,0,1,0.4,-0.75,-0.5,0.4,0,-0.5,-0.5,0.5
116,1293,0,NA,NA,0,1,NA,0.5,NA,1,1,0,0.6,1,-0.4,NA,NA,0,NA,1,0,0,0,0,0,0,0
117,1297,0,0,0.5,-0.25,0,0,-0.5,NA,-0.6,1,0.2,-0.2,0.6,0.2,0,1,0,-1,0,0,0,NA,NA,NA,NA,NA
118,1299,NA,-0.5,0.5,-0.5,0,0,-0.5,1,0,0,0,-0.4,0,-0.6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
119,1300,NA,0.5,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
120,1304,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1308,NA,NA,NA,NA,NA,0,0.75,NA,1,0,0.2,0.2,0.6,0.2,0,0,NA,NA,NA,NA,NA,0,0,1,0.75,0
