BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience
1097,Not Applicable,Daily,Weekly,Not Applicable,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Monthly,Not Applicable,Not Applicable,Daily,Seasonally,Weekly,Daily,Daily,Daily,Seasonally,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Weekly,Daily,Daily,45-54,Less than 5
1099,Monthly,Never,Weekly,Never,Not Applicable,Daily,Never,Never,Daily,Weekly,Not Applicable,Monthly,Not Applicable,Weekly,Daily,Never,Weekly,Daily,Daily,Weekly,Never,Daily,Never,Never,Daily,Never,Not Applicable,Daily,Never,Weekly,Not Applicable,Not Applicable,45-54,20+Y
1100,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Weekly,Daily,Daily,Daily,Not Applicable,Weekly,Weekly,Weekly,Daily,Monthly,Seasonally,Not Applicable,Not Applicable,Monthly,Monthly,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,10-15Y
1101,Daily,Not Applicable,Daily,Seasonally,Monthly,Daily,Not Applicable,Daily,Daily,Daily,Seasonally,Daily,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Daily,Seasonally,Not Applicable,Seasonally,Daily,Daily,Daily,Never,Seasonally,Daily,Monthly,Daily,Seasonally,Seasonally,45-54,5-10Y
1102,Daily,Daily,Weekly,Weekly,Weekly,Daily,Daily,Never,Weekly,Weekly,Never,Daily,Never,Daily,Weekly,Never,Weekly,Never,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Never,Never,Never,Daily,Never,Never,Never,Never,45-54,15-20Y
1103,Daily,Never,Daily,Never,Seasonally,Seasonally,Never,Never,Daily,Seasonally,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Monthly,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,20+Y
1108,Daily,Monthly,Seasonally,Monthly,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Seasonally,Not Applicable,Daily,Seasonally,Daily,Daily,Never,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Never,Never,45-54,5-10Y
1109,Daily,Weekly,Monthly,Never,Weekly,Weekly,Never,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Weekly,Daily,Daily,Not Applicable,Not Applicable,Weekly,Weekly,Daily,Daily,Never,Never,Daily,Never,Annually,Not Applicable,Never,25-34,Less than 5
1110,Monthly,Weekly,Seasonally,Seasonally,Seasonally,Daily,Not Applicable,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Seasonally,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Weekly,Weekly,Not Applicable,Not Applicable,Not Applicable,25-34,5-10Y
1111,Monthly,Weekly,Monthly,Never,Not Applicable,Weekly,Never,Never,Daily,Weekly,Never,Never,Daily,Never,Not Applicable,Daily,Daily,Daily,Daily,Never,Never,Not Applicable,Weekly,Weekly,Not Applicable,Not Applicable,Never,Never,Never,Never,Never,Daily,45-54,10-15Y
1114,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Weekly,Never,Never,Monthly,Monthly,Monthly,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Monthly,No understanding,No understanding,Never,Never,Never,Daily,Never,Never,Never,Seasonally,55+,20+Y
1115,Daily,Never,Monthly,Never,Monthly,Weekly,Never,Never,Daily,Monthly,Never,Daily,Never,Never,Daily,Never,Daily,Never,Daily,Never,Never,Monthly,Daily,Daily,Daily,Never,Never,Daily,Never,Never,Never,Never,45-54,20+Y
1117,Not Applicable,Not Applicable,Daily,Not Applicable,Seasonally,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,10-15Y
1118,Daily,Monthly,Seasonally,Seasonally,Weekly,Weekly,Never,Never,Daily,Monthly,Never,Weekly,Never,Monthly,Daily,Never,Seasonally,Daily,Daily,Weekly,Never,Monthly,Daily,Daily,Daily,Never,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1119,Daily,Not Applicable,Seasonally,Never,Seasonally,Daily,Never,Never,Daily,Monthly,Never,Daily,Never,Never,Daily,Daily,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Never,Never,Daily,Never,Never,Never,Weekly,55+,20+Y
1120,Monthly,Daily,Daily,Weekly,Seasonally,Monthly,Monthly,Never,Never,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Monthly,Daily,Seasonally,Daily,Daily,Daily,Daily,Never,Daily,Never,Never,Never,Seasonally,55+,15-20Y
1121,Daily,Not Applicable,Seasonally,Never,Monthly,Weekly,Never,Never,Daily,Weekly,Never,Daily,Daily,Daily,Seasonally,Never,Seasonally,Not Applicable,Not Applicable,Daily,Never,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Never,Never,Never,Daily,45-54,20+Y
1125,Daily,Daily,Monthly,Never,Weekly,Never,Never,Never,Daily,Daily,Never,Daily,Daily,Never,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Never,Never,Never,Never,Never,Daily,Never,Never,Never,Never,45-54,5-10Y
1126,Weekly,Not Applicable,Daily,Never,Seasonally,Daily,Never,Never,Daily,Daily,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Monthly,Daily,Daily,Weekly,Never,Daily,Daily,Weekly,Never,Never,Monthly,Never,Monthly,Not Applicable,Monthly,55+,15-20Y
1127,Weekly,Weekly,Seasonally,Seasonally,Seasonally,Seasonally,Seasonally,Never,Daily,Daily,Never,Daily,Monthly,Seasonally,Seasonally,Seasonally,Daily,Daily,Daily,Seasonally,Seasonally,Annually,Weekly,Weekly,Monthly,Monthly,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1128,Weekly,Daily,Monthly,Never,Seasonally,Not Applicable,Not Applicable,Never,Daily,Never,Seasonally,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Never,Monthly,Monthly,Monthly,Not Applicable,Monthly,Not Applicable,Daily,Daily,Daily,Seasonally,Daily,Never,Not Applicable,Not Applicable,Monthly,55+,15-20Y
1130,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Never,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Never,Daily,Never,Never,Never,Never,45-54,20+Y
1131,Daily,Weekly,Monthly,Never,Monthly,Daily,Never,Never,Daily,Daily,Never,Weekly,Never,Never,Weekly,Never,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Never,Not Applicable,Daily,Never,Never,Never,Never,45-54,10-15Y
1132,Daily,Daily,Not Applicable,Not Applicable,Annually,No understanding,Daily,Not Applicable,No understanding,Weekly,Not Applicable,Daily,Not Applicable,Monthly,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,5-10Y
1134,Never,Never,Never,Never,Never,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Never,Daily,Never,Never,Seasonally,Never,Seasonally,Never,Never,Never,Never,Seasonally,Never,Never,Never,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,10-15Y
1136,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1137,Daily,Daily,Annually,Never,Never,Never,Never,Never,Never,Daily,Never,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Never,Never,Never,Never,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1139,Weekly,Daily,Daily,Never,Seasonally,Weekly,Weekly,Never,Daily,Weekly,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Daily,Seasonally,Daily,Daily,Not Applicable,Daily,Not Applicable,Daily,Daily,Daily,Daily,Seasonally,Daily,Never,Seasonally,Not Applicable,Seasonally,55+,20+Y
1142,Daily,Never,Weekly,Weekly,Never,Daily,Never,Never,Daily,Daily,Never,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Never,Daily,Daily,Daily,Never,Never,Never,Never,Never,Never,Never,55+,20+Y
1143,Monthly,Daily,Never,Never,Never,Daily,Never,Never,Daily,Daily,Never,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Never,Daily,Daily,Never,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1144,Daily,Not Applicable,Annually,Never,Annually,Daily,Never,Never,Daily,Weekly,Not Applicable,Seasonally,Never,Never,Daily,Never,Seasonally,Not Applicable,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1145,Daily,Daily,Weekly,Weekly,Weekly,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,35-40,5-10Y
1146,Daily,Never,Monthly,Seasonally,Seasonally,Seasonally,Never,Never,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Never,Never,Daily,Never,Weekly,Weekly,Weekly,45-54,20+Y
1147,Daily,Daily,Never,Never,Never,Never,Never,Never,Daily,Never,Never,Never,Never,Never,Never,Monthly,Never,Daily,Never,Not Applicable,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45-54,10-15Y
1148,Daily,Monthly,Weekly,Never,Seasonally,Daily,Never,Never,Daily,Daily,Daily,Never,Never,Never,Daily,Never,Seasonally,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1150,Daily,Daily,Daily,Daily,Never,Daily,Never,Never,Daily,Daily,Never,Monthly,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Never,Seasonally,Daily,Daily,Daily,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,10-15Y
1151,Daily,Daily,Monthly,Never,Seasonally,Weekly,Daily,Never,Daily,Monthly,Never,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Never,Not Applicable,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Monthly,Daily,Annually,45-54,Less than 5
1152,Daily,Daily,Monthly,Monthly,Monthly,Daily,Never,Never,Never,Monthly,Never,Daily,Daily,Daily,Monthly,Daily,Never,Daily,Daily,Never,Never,Never,Daily,Daily,Daily,Daily,Never,Daily,Never,Never,Never,Never,45-54,20+Y
1153,Monthly,Daily,Never,Never,Never,Never,Never,Never,Daily,Never,Never,Daily,Daily,Daily,Weekly,Daily,Weekly,Daily,Daily,Daily,Daily,Seasonally,Never,Daily,Never,Never,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1154,Daily,Daily,Daily,Never,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Monthly,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1156,Not Applicable,Not Applicable,No understanding,No understanding,No understanding,Daily,Never,Never,Daily,Daily,Not Applicable,Never,Never,No understanding,Daily,Daily,Daily,Not Applicable,Not Applicable,No understanding,No understanding,No understanding,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,35-40,5-10Y
1158,Weekly,Weekly,Weekly,Never,Weekly,Weekly,Never,Never,Daily,Daily,Never,Seasonally,Never,Monthly,Daily,Never,Weekly,Never,Daily,Never,Never,Monthly,Never,Never,Never,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45-54,10-15Y
1159,Never,Daily,Never,Never,Never,Never,Never,Never,Daily,Not Applicable,Never,Not Applicable,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Never,Not Applicable,Daily,Daily,Never,Never,Never,Weekly,Never,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1160,Not Applicable,Not Applicable,Monthly,Never,Monthly,Daily,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Daily,Seasonally,Daily,Daily,Daily,Not Applicable,Not Applicable,Daily,Daily,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Never,Daily,Daily,35-40,15-20Y
1162,Daily,Not Applicable,Weekly,Never,Never,Daily,Never,Never,Never,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Never,Daily,Daily,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1163,Monthly,Weekly,Weekly,Never,Seasonally,Daily,Never,Never,Daily,Seasonally,Not Applicable,Weekly,Daily,Seasonally,Daily,Daily,Weekly,Daily,Weekly,Daily,Daily,Not Applicable,Daily,Daily,Weekly,Monthly,Never,Daily,Never,Never,Never,Daily,55+,15-20Y
1168,Daily,Daily,Never,Never,Never,Seasonally,Never,Never,Daily,Seasonally,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Weekly,Daily,Daily,Never,Never,Daily,Daily,Never,Never,Seasonally,45-54,20+Y
1169,Daily,Never,Never,Never,Never,Weekly,Never,Never,Weekly,Seasonally,Never,Seasonally,Never,Never,Seasonally,Never,Seasonally,Daily,Monthly,Daily,Never,Seasonally,Monthly,Weekly,Never,Never,Never,Monthly,Never,Never,Never,Seasonally,55+,20+Y
1170,Monthly,Weekly,Never,Never,Never,Daily,Daily,Not Applicable,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Annually,Weekly,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Seasonally,Not Applicable,Daily,Daily,No understanding,Daily,Daily,55+,20+Y
1174,Monthly,Daily,Never,Never,Never,Never,Never,Never,Daily,Seasonally,Never,Daily,Monthly,Daily,Daily,Monthly,Daily,Daily,Daily,Monthly,Monthly,Daily,Not Applicable,Daily,Daily,Monthly,Daily,Daily,Never,Never,Never,Never,45-54,15-20Y
1175,Daily,Monthly,Monthly,Monthly,Monthly,Daily,Weekly,Never,Never,Daily,Daily,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Daily,Daily,Daily,Daily,Monthly,Monthly,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1176,Monthly,Monthly,Monthly,Never,Seasonally,Weekly,Never,Never,Daily,Seasonally,Never,Not Applicable,Not Applicable,Not Applicable,Monthly,Never,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Weekly,Weekly,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1178,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Never,Daily,Never,Never,Never,Never,55+,10-15Y
1180,Monthly,Daily,Monthly,Never,Annually,Daily,Never,Never,Daily,Daily,Not Applicable,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,Seasonally,Weekly,Weekly,Daily,Never,Annually,Weekly,Never,Monthly,Never,Weekly,45-54,15-20Y
1183,Daily,Monthly,Monthly,Never,Seasonally,Monthly,Never,Never,Weekly,Seasonally,Never,Weekly,Daily,Weekly,Monthly,Never,Never,Weekly,Weekly,Not Applicable,Not Applicable,Not Applicable,Weekly,Weekly,Never,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1186,Daily,Daily,Daily,Daily,Seasonally,Weekly,Monthly,Never,Daily,Monthly,Never,Monthly,Never,Never,Daily,Seasonally,Seasonally,Daily,Daily,Never,Never,Not Applicable,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Monthly,Seasonally,Daily,45-54,15-20Y
1187,Daily,Never,Weekly,Never,Weekly,Daily,Never,Never,Daily,Daily,Weekly,Never,Never,Never,Daily,Never,Monthly,Daily,Weekly,Monthly,Never,Weekly,Weekly,Weekly,Never,Never,Never,Weekly,Never,Monthly,Monthly,Monthly,45-54,15-20Y
1188,Daily,Daily,Seasonally,Never,Seasonally,Daily,Never,Daily,Daily,Daily,Daily,Seasonally,Seasonally,Seasonally,Daily,Seasonally,Seasonally,Daily,Daily,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1189,Daily,Daily,Weekly,Never,Annually,Never,Never,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Daily,Never,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1191,Weekly,Daily,Daily,Never,Daily,Daily,Never,Never,Daily,Daily,Never,Never,Never,Never,Daily,Never,Monthly,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,35-40,10-15Y
1192,Daily,Daily,Daily,Monthly,Seasonally,Daily,Seasonally,Never,Daily,Daily,Never,Daily,Daily,Not Applicable,Daily,Weekly,Weekly,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Not Applicable,Daily,Daily,Never,Weekly,Daily,Weekly,45-54,20+Y
1194,Daily,Never,Daily,Never,As needed,Daily,Never,Never,Daily,Seasonally,Never,Daily,Never,Daily,NR,Never,Never,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Never,Daily,Never,NR,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y
1195,Daily,Daily,Never,Never,Never,Daily,Never,Never,Daily,Seasonally,Never,Never,Never,Never,Daily,Never,Daily,Daily,Daily,Daily,Never,Monthly,Daily,Daily,Daily,Never,Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1197,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Never,Daily,Weekly,Weekly,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,45-54,10-15Y
