BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience,LogCheck
1121,Not applicable,Not applicable,Seasonally,Never,Seasonally,Weekly,Never,Never,Daily,Weekly,Never,Monthly,Never,Monthly,Daily,Never,Daily,Not applicable,Not applicable,Daily,Never,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Weekly,Never,Never,Never,Never,44-54,20+Y,
1124,Daily,Daily,Daily,Never,Seasonally,Not applicable,Not applicable,Never,Daily,Not applicable,Not applicable,Never,Never,Never,Daily,Never,Never,Daily,Daily,Never,Never,Never,Daily,Daily,Never,Never,Never,Daily,Never,Daily,Never,Daily,44-54,20+Y,
1125,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Never,Daily,Daily,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Never,44-54,10-15Y,Y
1126,Daily,Monthly,Daily,Never,Seasonally,Never,Never,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,15-20Y,
1128,Weekly,Daily,Monthly,Monthly,Monthly,Daily,Weekly,Never,Daily,Monthly,Daily,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Daily,Weekly,Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,55+,15-20Y,
1130,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Daily,44-54,20+Y,Y
1131,Daily,Daily,Daily,Monthly,Monthly,Weekly,Weekly,Daily,Daily,Monthly,Never,Monthly,Monthly,Monthly,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Never,Never,Daily,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1132,Daily,NA,Not applicable,Not applicable,Daily,Daily,Daily,Not applicable,Daily,Seasonally,Not applicable,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Not applicable,Not applicable,Not applicable,Not applicable,55+,10-15Y,Y
1134,Never,Never,Seasonally,Seasonally,Seasonally,Never,Never,Never,Daily,Never,Daily,Daily,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,15-20Y,
1137,Daily,Weekly,Daily,Never,Never,Daily,Never,Never,Never,Seasonally,Daily,Daily,Daily,Daily,Weekly,Never,Never,Daily,Daily,Daily,Never,Seasonally,Daily,Daily,Daily,Weekly,Monthly,Never,Never,Never,Never,Never,44-54,20+Y,
1138,Weekly,Weekly,Daily,Weekly,Weekly,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Monthly,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Seasonally,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1139,Daily,Not applicable,Never,Never,Seasonally,Daily,Not applicable,Never,Daily,Never,Not applicable,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Monthly,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,15-20Y,
1142,Daily,Daily,Seasonally,Seasonally,Seasonally,Daily,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,NA,NA,NA,NA,NA,55+,20+Y,
1143,Weekly,Monthly,Seasonally,Seasonally,Seasonally,Seasonally,Not applicable,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Daily,Daily,Weekly,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1145,Daily,Daily,Weekly,Weekly,Daily,Weekly,Monthly,Daily,Weekly,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Weekly,35-44,5-10Y,
1146,Daily,Never,Weekly,Monthly,Seasonally,Weekly,Weekly,Never,Daily,Seasonally,Daily,Daily,Daily,Daily,Monthly,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Weekly,Weekly,Daily,Never,Never,Daily,Never,Weekly,Never,Weekly,44-54,15-20Y,
