BPL.BLD.ID,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,3.7,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.2,5.3,5.4,5.5,5.6,6.1,6.2,6.3,7.1,7.2,7.3,7.4,8.1,8.2,8.3,8.4,8.5,Age,Experience
1078,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Monthly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1080,Daily,Daily,Daily,Daily,Weekly,Daily,Monthly,Not Applicable,Annually,No understanding,Not Applicable,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Not Applicable,Seasonally,Seasonally,Seasonally,Not Applicable,Not Applicable,Not Applicable,No understanding,45-54,10-15Y
1082,Daily,Daily,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Weekly,Weekly,Daily,Never,Never,Daily,Daily,Daily,Daily,Daily,Never,Weekly,Weekly,Weekly,Daily,Daily,Daily,Daily,Daily,Seasonally,Never,Never,Daily,Daily,Never,Never,Monthly,Daily,Daily,Never,Daily,Not Applicable,25-34,10-15Y
1085,Daily,Monthly,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Never,Daily,Daily,Daily,Annually,Daily,Never,Annually,Daily,Daily,Annually,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Never,Never,Daily,Daily,Never,Never,Never,45-54,15-20Y
1086,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Monthly,Never,Never,Daily,Never,Daily,Never,Seasonally,Seasonally,Daily,Daily,Daily,Weekly,Weekly,Monthly,Daily,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Daily,Weekly,Monthly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,10-15Y
1087,Daily,Daily,Daily,Daily,Monthly,Daily,Seasonally,Seasonally,Seasonally,Not Applicable,Not Applicable,Daily,Daily,Daily,Weekly,Daily,Not Applicable,Daily,Daily,Not Applicable,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1089,Daily,Daily,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Weekly,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Weekly,Not Applicable,Not Applicable,Monthly,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1091,Not Applicable,Not Applicable,Daily,Daily,Never,Weekly,Daily,Daily,Seasonally,Daily,Never,Daily,Never,Daily,Seasonally,Seasonally,Never,Never,Never,Never,Seasonally,Never,Never,Never,Daily,Never,Never,Never,Monthly,Never,Weekly,Daily,Daily,Daily,Daily,Annually,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,55+,10-15Y
1096,Weekly,Weekly,Daily,Daily,Not Applicable,Daily,Seasonally,Seasonally,Seasonally,Daily,Never,Daily,Daily,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Daily,Not Applicable,Daily,Never,Daily,Daily,No understanding,Not Applicable,Not Applicable,Not Applicable,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,15-20Y
1097,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Daily,Weekly,Not Applicable,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Monthly,Not Applicable,Not Applicable,Daily,Seasonally,Weekly,Daily,Not Applicable,Daily,Daily,Seasonally,Daily,Not Applicable,Not Applicable,Seasonally,Daily,Not Applicable,Not Applicable,Seasonally,Daily,Not Applicable,Weekly,Daily,Daily,45-54,Less than 5
1099,Weekly,Monthly,Daily,Daily,Never,Weekly,Weekly,Never,Not Applicable,Daily,Never,Daily,Never,Daily,Weekly,Daily,Not Applicable,Monthly,Not Applicable,Weekly,Daily,Never,Weekly,Daily,Daily,Daily,Weekly,Never,Daily,Never,Never,Not Applicable,Daily,Never,Not Applicable,Seasonally,Daily,Never,Weekly,Not Applicable,Not Applicable,45-54,20+Y
1100,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Weekly,Weekly,Daily,Daily,Daily,Daily,Daily,Not Applicable,Weekly,Weekly,Weekly,Daily,Monthly,Seasonally,Not Applicable,Not Applicable,Not Applicable,Monthly,Monthly,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,10-15Y
1101,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Seasonally,Monthly,Daily,Not Applicable,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Seasonally,Not Applicable,Seasonally,Daily,Daily,Daily,Daily,Never,Seasonally,Annually,Daily,Monthly,Daily,Seasonally,Seasonally,45-54,5-10Y
1102,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Weekly,Daily,Daily,Weekly,Never,Weekly,Weekly,Weekly,Never,Daily,Never,Daily,Weekly,Never,Weekly,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Daily,Never,Never,Never,Seasonally,Daily,Never,Never,Never,Never,45-54,15-20Y
1103,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Seasonally,Seasonally,Never,Daily,Never,Daily,Seasonally,Seasonally,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Daily,Monthly,Never,Never,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,35-40,20+Y
1108,Daily,Daily,Daily,Daily,Monthly,Daily,Seasonally,Monthly,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Never,Seasonally,Not Applicable,Daily,Seasonally,Daily,Daily,Daily,Never,Not Applicable,Not Applicable,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Never,Never,Never,Never,45-54,5-10Y
1109,Daily,Daily,Daily,Daily,Weekly,Weekly,Monthly,Never,Weekly,Weekly,Never,Daily,Never,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Never,Weekly,Daily,Daily,Daily,Not Applicable,Not Applicable,Weekly,Weekly,Daily,Daily,Daily,Never,Never,Seasonally,Daily,Never,Annually,Not Applicable,Never,25-34,Less than 5
1110,Daily,Monthly,Daily,Daily,Weekly,Weekly,Seasonally,Seasonally,Seasonally,Daily,Not Applicable,Daily,Daily,Daily,Daily,Seasonally,Seasonally,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Seasonally,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Daily,Seasonally,Monthly,Weekly,Weekly,Not Applicable,Not Applicable,Not Applicable,25-34,5-10Y
1111,Weekly,Monthly,Daily,Daily,Weekly,Weekly,Monthly,Never,Not Applicable,Weekly,Never,Daily,Never,Daily,Weekly,Weekly,Never,Never,Daily,Never,Not Applicable,Daily,Daily,Daily,Daily,Daily,Never,Never,Not Applicable,Weekly,Weekly,Daily,Not Applicable,Not Applicable,Never,Seasonally,Never,Never,Never,Never,Daily,45-54,10-15Y
1114,Daily,Daily,Daily,Daily,Daily,Monthly,Not Applicable,Not Applicable,Not Applicable,Weekly,Never,Daily,Never,Monthly,Monthly,Monthly,Monthly,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Monthly,No understanding,No understanding,Daily,Never,Never,Never,Seasonally,Daily,Never,Never,Never,Seasonally,55+,20+Y
1115,Daily,Daily,Daily,Daily,Never,Daily,Monthly,Never,Monthly,Weekly,Never,Daily,Never,Daily,Monthly,Daily,Never,Daily,Never,Never,Daily,Never,Daily,Never,Never,Daily,Never,Never,Monthly,Daily,Daily,Daily,Daily,Never,Never,Seasonally,Daily,Never,Never,Never,Never,45-54,20+Y
1117,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Not Applicable,Seasonally,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,10-15Y
